AACS,intracellular
PRKAG2,intracellular
APOBEC3D,intracellular
ABCA5,intracellular
ABCA8,intracellular
ABCA9,intracellular
ABCA12,intracellular
ABCB7,intracellular
ABCB8,intracellular
ABCG2,intracellular
ABHD1,intracellular
ABHD6,intracellular
ABHD11,intracellular
ABRA,intracellular
ACACA,intracellular
ACADS,intracellular
ACAP1,intracellular
ACAP3,intracellular
CHRNA4,intracellular
CHRNA7,intracellular
ACIN1,intracellular
ACMSD,intracellular
ACOT1,intracellular
ACOT6,intracellular
ACR,extracellular
ACSM2A,intracellular
ACSS1,intracellular
ACSF2,intracellular
ACSF3,intracellular
ACSM4,intracellular
ACTL8,intracellular
ACTN4,extracellular
ACTRT2,intracellular
ACTR1A,intracellular
ADAM10,intracellular
ADAM15,intracellular
ADAM18,intracellular
ADAM32,intracellular
ADRA2A,intracellular
ADAL,intracellular
ADAM7,intracellular
ADAP1,intracellular
AGPS,intracellular
ADM2,extracellular
ADM5,extracellular
ADNP,intracellular
AASDHPPT,intracellular
ADIPOR1,intracellular
SLC25A5,ECM
AES,intracellular
MLLT6,intracellular
AFAP1,intracellular
AFF1,intracellular
AFF2,intracellular
AFF4,intracellular
AFG3L2,intracellular
ALG1L2,intracellular
AGAP1,intracellular
AGAP3,intracellular
AGAP7P,intracellular
ADGRD1,intracellular
ADGRE2,intracellular
ADGRF2,intracellular
ADGRF4,intracellular
AHI1,intracellular
AHRR,intracellular
YWHAB,intracellular
YWHAE,intracellular
PPP2R5B,intracellular
PPP2R5E,intracellular
HAAO,intracellular
EPB41,intracellular
EIF4EBP3,intracellular
HTR1D,intracellular
HTR3E,intracellular
HTR6,intracellular
NT5C1B,intracellular
NT5C3A,intracellular
A4GNT,intracellular
AAAS,intracellular
SERPINA3,extracellular
PRKAA1,intracellular
AARSD1,intracellular
APOBEC3A,intracellular
ABCA3,intracellular
ABCA7,intracellular
ABCA13,intracellular
ABCB5,intracellular
ABCF1,intracellular
APOBEC2,intracellular
ABHD3,intracellular
ABHD16B,intracellular
ABI3,intracellular
ACBD5,intracellular
ACSBG1,intracellular
ACSBG2,intracellular
CHRNA9,intracellular
CHRNB2,intracellular
ACO1,intracellular
ACP7,extracellular
ACRBP,extracellular
ACSL5,intracellular
ACTBL2,intracellular
MC2R,intracellular
ACTRT3,intracellular
ASPA,intracellular
ACY3,intracellular
ACYP2,intracellular
ADAM11,ECM
ADAM19,intracellular
ADAT2,intracellular
ADCK2,intracellular
ADCK5,intracellular
AADACL4,intracellular
ADA,intracellular
ADD1,intracellular
ADD3,intracellular
ADH1C,intracellular
ADIRF,intracellular
ADIPOR2,intracellular
FDX1L,intracellular
YWHAQ,intracellular
PPP2R5A,intracellular
PPP2R5D,intracellular
PPP2R2A,intracellular
PPP2R2B,intracellular
HSD3B1,intracellular
SH3BP5,intracellular
HTR1A,intracellular
HTR3D,intracellular
HTR3C,intracellular
NT5C2,intracellular
PGD,intracellular
ORM1,extracellular
A1CF,intracellular
A2ML1,extracellular
AAED1,intracellular
AAMP,intracellular
ABHD17A,extracellular
APOBEC3C,intracellular
APOBEC3F,intracellular
ABCA11P,intracellular
ABCC8,intracellular
ABCD4,intracellular
ABCG1,intracellular
APOBEC1,intracellular
ABHD4,intracellular
ABLIM3,intracellular
ACACB,intracellular
ACADM,intracellular
ACD,intracellular
ACKR2,intracellular
ACTL7A,intracellular
CHRM1,intracellular
CHRM3,intracellular
CHRM5,intracellular
ACOT11,intracellular
ACOT13,intracellular
ACO2,intracellular
ACOT9,intracellular
ACOX3,intracellular
ACRC,intracellular
ACSL4,intracellular
ACSM1,intracellular
ACTB,intracellular
ACTR1B,intracellular
ADAM12,extracellular
ADRA1A,intracellular
ADAM28,extracellular
ADAM29,intracellular
ADAT1,intracellular
ADCK1,extracellular
ADCK3,intracellular
ACAD11,intracellular
ACADSB,intracellular
ACER1,intracellular
CHRNA2,intracellular
CHRNA1,intracellular
CHRNB3,intracellular
CHRNB4,intracellular
CHRNE,intracellular
CHRM2,intracellular
CHRM4,intracellular
ACOT12,intracellular
THEM5,intracellular
NDUFAB1,intracellular
ACSL3,intracellular
ACSL6,intracellular
ACSS3,intracellular
ACTC1,intracellular
ACTN2,extracellular
ACVR1B,intracellular
ADAM8,intracellular
AADACL3,intracellular
ADCY6,intracellular
ADD2,intracellular
FAM132A,extracellular
SSX2IP,intracellular
ADK,intracellular
ADPRH,intracellular
MLLT11,intracellular
ALG10B,intracellular
AGAP4,intracellular
AGFG2,intracellular
AGO3,intracellular
AGO2,intracellular
AGR3,intracellular
ADGRF3,intracellular
ADGRL2,intracellular
ADGRL3,intracellular
ADGRL4,intracellular
AGTR2,extracellular
AHR,intracellular
AICDA,intracellular
AIG1,intracellular
AKR1B10,extracellular
AKAP12,intracellular
AKAP1,intracellular
AKAP9,intracellular
ANKDD1A,intracellular
AKIP1,intracellular
AKT1S1,intracellular
ARL14EP,intracellular
ALDH1A1,intracellular
ALDH1L1,intracellular
ALDH1L2,intracellular
ALS2CL,intracellular
ALDH3B1,intracellular
ALDH9A1,intracellular
ALDH2,intracellular
PPP2R1A,intracellular
HSD3B7,intracellular
SH3BP2,intracellular
HTR1F,intracellular
HTR3B,intracellular
HTR4,intracellular
HTR5A,intracellular
NT5C3B,intracellular
PGLS,intracellular
A1BG,extracellular
SLC7A10,intracellular
GOT1L1,intracellular
GOT1,intracellular
APOBEC3B,intracellular
APOBEC3G,intracellular
ABCA2,intracellular
ABCA6,intracellular
ABCB6,intracellular
ABCB11,intracellular
ABCC11,intracellular
ABCE1,intracellular
ABHD12,intracellular
APOBEC4,intracellular
ABLIM1,intracellular
ABT1,intracellular
ACAD8,intracellular
ACBD6,intracellular
ACER2,intracellular
ACHE,extracellular
ACE,extracellular
CHRNA10,intracellular
ACTL6A,intracellular
ACOX2,intracellular
ACSS2,intracellular
AASDH,intracellular
ACSL1,intracellular
POTEKP,extracellular
ACER3,intracellular
ACKR1,intracellular
ACKR3,intracellular
ACOXL,intracellular
APEH,intracellular
ACSM6,intracellular
ACTL9,intracellular
ACTRT1,intracellular
ACY1,intracellular
ADAM17,intracellular
ADRA1B,intracellular
ADRA1D,intracellular
ADAM23,extracellular
ADAD2,intracellular
ADAM9,extracellular
ADCK4,intracellular
ADCY1,intracellular
ADCY3,intracellular
ADGB,intracellular
ADH4,intracellular
SCIN,intracellular
